libro,usuario,puntuacion,svd,knn
el-maestro-de-esgrima,216,8.0,7.81,6.69
el-angel-mas-tonto-del-mundo,288,3.0,3.4,6.92
un-millon-de-gotas,300,7.0,7.02,7.25
el-resplandor,120,10.0,9.88,7.07
el-fuego,1122,5.0,5.19,6.3
koko,227,6.0,6.16,6.86
open-memorias,105,9.0,8.85,8.37
chiquita,201,9.0,8.75,7.26
ojos-de-fuego,242,6.0,6.39,5.9
ojos-de-agua,22,8.0,7.71,7.41
rey-de-reyes-guerrero-de-roma-ii,161,6.0,6.22,7.51
lo-que-vendria-a-ser-la-historia-de-espana,41,8.0,7.92,6.83
la-cartuja-de-parma,258,7.0,7.07,7.61
casa-desolada,126,9.0,8.91,7.48
persona-normal,182,9.0,8.64,7.84
el-valle-del-asombro,122,7.0,6.86,7.14
la-huella-del-angel-1,156,8.0,7.75,6.98
asesinos-sin-rostro,169,6.0,5.99,5.47
jamas-el-fuego-nunca,276,5.0,5.5,7.22
una-educacion,211,9.0,8.69,8.23
tiempo-de-odio-la-saga-de-geralt-de-rivia-libro-iv,21,6.0,6.19,6.99
todo-y-mas-una-breve-historia-del-infinito,255,6.0,5.99,6.21
la-gran-caceria-la-rueda-del-tiempo-3,126,9.0,8.89,7.48
nacida-del-hielo,151,6.0,6.27,6.81
la-materia-oscura,158,9.0,8.6,7.6
personas-desconocidas,701,8.0,7.61,7.3
carta-de-una-desconocida,143,8.0,8.31,8.03
kokoro-manga,88,7.0,7.01,7.25
historia-del-silencio-premio-herralde-de-novela-1994,168,7.0,7.03,6.65
el-halcon-maltes,125,5.0,5.59,6.47
patente-de-corso,130,6.0,6.32,6.77
tokio-blues-norwegian-wood,292,8.0,8.08,8.55
oscuros,60,6.0,6.23,7.02
el-corazon-de-las-tinieblas-ensayo,160,8.0,7.96,8.11
mafalda-8,138,8.0,7.83,7.24
mision-de-perros,62,8.0,7.83,6.97
vestido-de-novia,44,7.0,6.41,6.58
taras-bulba,126,8.0,7.96,7.48
las-cenizas-de-angela,61,7.0,7.41,6.73
cornelia,309,8.0,7.65,7.87
el-juego-del-angel-el-cementerio-de-los-libros-olvidados-2,418,8.0,7.93,6.7
un-alma-de-dios,88,7.0,7.03,7.25
la-cancion-de-dorotea,201,3.0,3.56,7.26
la-ultima-salida,132,8.0,7.59,7.66
historias-de-mujeres,300,8.0,7.8,6.68
asterix-en-america,300,8.0,7.85,6.68
el-laberinto-de-la-felicidad,962,2.0,3.0,4.36
aprender-a-hablar-en-publico-hoy-como-cautivar-y-convencer-por-medio-de-la-palabra,227,7.0,6.84,6.86
intencion-criminal,273,6.0,6.47,7.79
las-flores-de-hiroshima,255,7.0,6.88,6.21
maldito-karma,204,8.0,7.41,5.56
memorias-de-una-geisha,230,8.0,8.36,8.03
talion-1,242,7.0,7.2,7.77
koba-el-temible-la-risa-y-los-veinte-millones,156,8.0,7.82,6.98
el-pan-de-los-anos-mozos,88,7.0,6.96,7.25
demian-historia-de-la-juventud-de-emil-sinclair,85,8.0,7.2,6.63
donde-siempre-es-otono,1709,8.0,7.48,8.0
la-maldicion-de-ra-keops-y-la-gran-piramide,164,10.0,9.68,9.54
las-mejores-anecdotas-del-real-madrid,62,6.0,6.1,6.97
el-guardian-entre-el-centeno,107,6.0,6.42,7.39
tres-sombreros-de-copa,629,10.0,9.5,9.09
entre-pupitres,62,5.0,5.24,6.97
conversacion-en-la-catedral,587,10.0,9.66,8.39
el-nombre-de-la-rosa,533,4.0,4.24,3.67
el-caballero-de-la-armadura-oxidada,1932,6.0,6.17,5.75
el-gran-momento-de-mary-tribune,204,9.0,8.75,6.39
nada-se-opone-a-la-noche,220,6.0,6.24,7.12
la-mansion-de-los-gatos-los-misterios-de-la-gata-holmes,209,7.0,6.98,6.63
gerona,254,7.0,7.09,7.26
el-boligrafo-de-gel-verde,43,7.0,6.65,6.49
zaragoza,254,7.0,7.11,7.39
el-jardin-olvidado,229,8.0,7.89,7.87
la-verdad-sobre-el-caso-harry-quebert,249,8.0,8.02,7.65
los-amantes-de-granada,169,5.0,5.31,6.79
carmilla-la-mujer-vampiro,492,8.0,7.9,6.85
te-vere-esta-noche,48,4.0,4.33,6.8
diez-negritos,30,8.0,7.72,8.37
mascaras-de-matar,299,6.0,6.27,7.72
las-rubias-tomo-2,62,6.0,6.13,6.97
lejos-del-corazon,169,7.0,6.77,6.79
la-guerra-del-fin-del-mundo,143,8.0,8.02,7.42
el-enigma-del-evangelio-triana,216,7.0,7.06,7.01
bailando-en-la-oscuridad,516,8.0,7.94,8.24
la-vuelta-al-mundo-en-ochenta-80-dias,138,7.0,6.93,6.85
los-santos-inocentes,148,7.0,7.23,8.33
