nombre,miembro_desde,genero,vive_en,nacimiento
0,3 días,Hombre,Coria - España,1975.0
1,3 años,Mujer,España,1910.0
2,4 días,Hombre,,
3,1 semana,Hombre,Ciudad de mexico - España,1984.0
4,3 meses,Hombre,Cordoba - España,1970.0
5,5 días,Mujer,Vigo - España,1987.0
6,1 semana,Mujer,Madrid - España,1988.0
7,4 días,Hombre,Valencia - España,1986.0
8,2 meses,Mujer,Bogotá - Colombia,1973.0
9,6 días,Mujer,,
10,3 años,Hombre,Getafe - España,1987.0
11,1 mes,Hombre,Lima - Peru,1993.0
12,1 año,Mujer,Badalona - España,1993.0
13,1 año,Mujer,,
14,2 días,Hombre,Madrid - España,1986.0
15,2 años,Mujer,Buenos aires - Argentina,1994.0
16,3 años,Hombre,Madrid - España,1995.0
17,3 años,Mujer,Granada - España,1975.0
18,7 años,,España,
19,2 días,Mujer,Coslada - España,1980.0
20,3 años,Hombre,Madrid - España,1952.0
21,6 años,Hombre,España,1988.0
22,7 años,Mujer,Albacete - España,1977.0
23,1 semana,Hombre,Madrid - España,1977.0
24,1 día,Mujer,Las palmas de gran canaria - España,1966.0
25,2 semanas,Hombre,Murcia - España,1982.0
26,11 años,,Valladolid - España,
27,10 meses,Hombre,Valencia - España,1969.0
28,4 años,Hombre,Vigo - España,1985.0
29,2 años,Mujer,Capital federal - Argentina,1980.0
30,2 años,Hombre,Pamplona - España,1969.0
31,5 años,Hombre,Madrid - España,1971.0
32,8 años,,España,1974.0
33,9 años,,Madrid - España,1910.0
34,4 días,Hombre,,
35,1 año,Hombre,Sant cugat del valles - España,1961.0
36,3 días,Hombre,Madrid - España,1975.0
37,4 meses,Mujer,Komala - España,1989.0
38,3 años,Mujer,España,1991.0
39,3 años,Hombre,,
40,9 meses,Mujer,Madrid - España,1980.0
41,12 años,,Zamora - España,1977.0
42,1 semana,Mujer,Madrid - España,1987.0
43,3 años,Hombre,España,1910.0
44,3 años,Hombre,Leon - España,1959.0
45,3 años,,,
46,4 meses,Hombre,Logroño - España,1988.0
47,1 día,Hombre,Madrid - España,1979.0
48,2 años,Hombre,Vigo - España,1992.0
49,2 años,Mujer,Madrid - España,1961.0
50,3 años,Mujer,Ciudad real - España,1995.0
51,3 días,Mujer,Malaga - España,2009.0
52,2 años,Hombre,Any - Germany,1910.0
53,4 años,Mujer,España,1994.0
54,1 mes,Hombre,Santa fe - Argentina,1990.0
55,5 meses,Mujer,,
56,6 meses,Hombre,Madrid - Afghanistan,1994.0
57,2 años,,¿?,
58,2 años,Hombre,,
59,1 año,Hombre,Linares - Chile,1980.0
60,7 años,Mujer,Salinas - Uruguay,1985.0
61,9 años,Mujer,España,1979.0
62,10 años,,España,
63,11 meses,Hombre,Santander - España,1981.0
64,8 años,,Mexico,
65,8 años,,España,1990.0
66,2 años,Mujer,,
67,9 años,,España,1965.0
68,4 años,Hombre,Valencia - España,1982.0
69,1 semana,Mujer,Arcos de la frontera - España,1995.0
70,2 años,Mujer,Capital - Argentina,1980.0
71,5 días,Hombre,Granda - España,1987.0
72,4 meses,Hombre,Madrid - España,1996.0
73,2 días,Hombre,Posadas - Argentina,1962.0
74,1 año,Mujer,"Burdeos - France, French Republic",
75,6 meses,Mujer,Segovia - España,1988.0
76,5 años,Mujer,Barcelona - España,1965.0
77,6 años,Mujer,Santa cruz de tenerife - España,1987.0
78,4 meses,Hombre,Alicante - España,1976.0
79,4 semanas,Mujer,Madrid - España,1971.0
80,3 años,Hombre,,
81,5 días,Mujer,Buenos aires - Argentina,1997.0
82,4 meses,Mujer,Getafe - España,1962.0
83,3 días,Hombre,Seixo marín pontevedra - España,1970.0
84,2 días,Hombre,Madrid - España,1992.0
85,5 años,Hombre,Barcelona - España,1981.0
86,5 años,Mujer,Madrid - España,1980.0
87,6 meses,Mujer,Getafe - España,1979.0
88,9 años,Mujer,- - España,2011.0
89,1 año,Mujer,Cangas - España,1953.0
90,5 años,Mujer,Ibiza - España,1980.0
91,5 años,Hombre,Jerez - España,1975.0
92,10 años,Mujer,Madrid - España,1986.0
93,10 años,,España - España,1910.0
94,3 meses,Hombre,Villaviciosa de odón - España,1981.0
95,4 meses,Hombre,Vilassar de mar - España,1983.0
96,11 años,,España,
97,2 años,Mujer,Murcia - ¿?,1979.0
98,1 año,Hombre,Alcorcón - España,1945.0
99,10 años,,Sevilla - España,1984.0
100,2 años,Mujer,Ciudad real - España,1985.0
101,3 semanas,Hombre,A coruña - España,1993.0
102,10 años,Hombre,Madrid - España,1975.0
103,1 año,Mujer,Sevilla - España,1980.0
104,11 meses,Hombre,Madrid - España,1979.0
105,3 años,Hombre,España,1994.0
106,6 años,Mujer,España,1989.0
107,12 años,,España,
108,5 años,Mujer,Sevilla - España,1964.0
109,2 años,Mujer,Valladolid - ¿?,
110,6 años,,España,1910.0
111,10 meses,Mujer,,
112,1 mes,Mujer,Tocancipa - Colombia,1998.0
113,1 segundo,Hombre,Santa cruz - Bolivia,1984.0
114,3 años,Hombre,Daimiel - España,1972.0
115,2 años,Mujer,,
116,2 años,Hombre,Madrid - España,1993.0
117,8 años,,Madrid - España,1977.0
118,2 años,Hombre,,
119,2 meses,Mujer,A coruña - España,1975.0
120,5 años,Hombre,Cali - Colombia,1985.0
121,2 años,Hombre,Madrid - España,1959.0
122,1 mes,Mujer,Madrid - España,1980.0
123,2 años,Mujer,Madrid - España,1987.0
124,4 años,Hombre,Santiago - Cote d'Ivoire,1981.0
125,3 años,Hombre,Barcelona - España,1990.0
126,7 años,Hombre,Valladolid - España,1980.0
127,5 años,,España,1992.0
128,9 años,,España,
129,3 meses,Hombre,Coruña - España,1987.0
130,2 años,,,
131,7 años,,España,1976.0
132,5 años,Mujer,España,1973.0
133,2 años,Hombre,Valencia - España,1961.0
134,4 meses,Hombre,,
135,3 años,Mujer,España,1988.0
136,6 días,Hombre,Issaquah - United States of America,1977.0
137,10 años,,España,1979.0
138,2 años,Hombre,Buenoas aires - Argentina,1982.0
139,6 años,Hombre,Cáceres - España,1987.0
140,6 años,Mujer,Córdoba - Argentina,1967.0
141,10 años,Hombre,,
142,1 año,Hombre,Málaga - España,1991.0
143,3 años,Hombre,Vélez-málaga - España,
144,3 meses,Hombre,Donostia - España,1972.0
145,7 años,,España,1974.0
146,1 día,Mujer,Madrid - España,1999.0
147,1 año,Mujer,País vasco - España,1987.0
148,6 meses,Hombre,,
149,3 años,Hombre,Santiago de compostela - España,1993.0
150,11 meses,Hombre,Ourense - España,1988.0
151,6 años,Mujer,Zumarrága - España,1971.0
152,3 meses,Hombre,Reikjavik - España,1972.0
153,1 mes,Hombre,,
154,9 años,Mujer,San sebastián - España,1980.0
155,7 años,Hombre,España,1978.0
156,6 años,Mujer,España,1955.0
157,1 segundo,Mujer,Barcelona - España,1990.0
158,11 meses,Mujer,Zaragoza - España,1977.0
159,6 años,,,
160,4 años,Hombre,Cadiz - España,1972.0
161,6 años,Hombre,Barcelona - España,1977.0
162,4 años,Mujer,Barcelona - España,1972.0
163,2 años,Mujer,Madrid - España,1977.0
164,3 años,Hombre,Santo andré - Brazil,1979.0
165,2 meses,Hombre,Getafe - España,1974.0
166,4 meses,Hombre,L'hospitalet de llobregat - España,1985.0
167,2 años,Hombre,Madrid - España,1983.0
168,8 años,,Valencia - España,1979.0
169,5 años,Mujer,Béjar - España,1980.0
170,9 meses,Mujer,Barakaldo - España,1987.0
171,5 años,Hombre,Valencia - España,1959.0
