id,title,year,imdbID,rtID
1,Toy story,1995,114709,toy_story
2,Jumanji,1995,113497,1068044-jumanji
3,Grumpy Old Men,1993,107050,grumpy_old_men
4,Waiting to Exhale,1995,114885,waiting_to_exhale
5,Father of the Bride Part II,1995,113041,father_of_the_bride_part_ii
6,Heat,1995,113277,1068182-heat
7,Sabrina,1954,47437,1018047-sabrina
8,Tom and Huck,1995,112302,tom_and_huck
9,Sudden Death,1995,114576,1068470-sudden_death
10,GoldenEye,1995,113189,goldeneye
11,The American President,1995,112346,american_president
12,Dracula: Dead and Loving It,1995,112896,dracula_dead_and_loving_it
13,Balto,1995,112453,balto
14,Nixon,1995,113987,nixon
15,Cutthroat Island,1995,112760,cutthroat_island
16,Casino,1995,112641,1067987-casino
17,Sense and Sensibility,1995,114388,1068832-sense_and_sensibility
18,Four Rooms,1995,113101,four_rooms
19,Ace Ventura: When Nature Calls,1995,112281,ace_ventura_when_nature_calls
20,Money Train,1995,113845,money_train
21,Get Shorty,1995,113161,get_shorty
22,Copycat,1995,112722,1065837-copycat
23,Ninja Assassin,2009,1186367,1198524-ninja_assassin
24,Powder,1995,114168,powder
25,Leaving Las Vegas,1995,113627,leaving_las_vegas
26,Othello,1995,114057,1069707-othello
27,Now and Then,1995,114011,now_and_then
28,Persuasion,1995,114117,1066528-persuasion
29,La cité des enfants perdus,1995,112682,city_of_lost_children
30,Yao a yao yao dao waipo qiao,1995,115012,shanghai_triad
31,Dangerous Minds,1995,112792,dangerous_minds
32,Twelve Monkeys,1995,114746,prem-no-public-issue
33,Wings of Courage,1995,114952,
34,Babe,1995,112431,1065598-babe
35,Carrington,1995,112637,carrington
36,Dead Man Walking,1995,112818,1068779-dead_man_walking
37,Across the Sea of Time,1995,112286,across_the_sea_of_time
38,It Takes Two,1995,113442,1067137-it_takes_two
39,Clueless,1995,112697,school_of_senses
40,"Cry, the Beloved Country",1995,112749,1068781-cry_the_beloved_country
41,Richard III,1995,114279,1068177-richard_iii
42,Dead Presidents,1995,112819,dead_presidents
43,Restoration,1995,114272,1069339-restoration
44,Mortal Kombat,1995,113855,mortal_kombat
45,Live Free or Die Hard,2007,337978,live_free_or_die_hard
46,How to Make an American Quilt,1995,113347,how_to_make_an_american_quilt
47,Shichinin no samurai,1954,47478,1018639-seven_samurai
48,Pocahontas,1995,114148,1063452-pocahontas
49,When Night Is Falling,1995,114916,when_night_is_falling
50,The Usual Suspects,1995,114814,usual_suspects
52,Mighty Aphrodite,1995,113819,mighty_aphrodite
53,Lamerica,1994,110299,lamerica
54,The Big Green,1995,112499,big_green
55,Georgia Rule,2007,791304,georgia_rule
56,Kids of the Round Table,1997,113541,kids-of-the-round-table
57,Home for the Holidays,1995,113321,1066169-home_for_the_holidays
58,Il postino,1994,110877,il_postino
59,Le confessionnal,1995,112714,confessional
60,The Indian in the Cupboard,1995,113419,indian_in_the_cupboard
61,Eye for an Eye,1996,116260,1101753-eye
62,Mr. Holland's Opus,1995,113862,mr_hollands_opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,116126,dont_be_a_menace
64,Two If by Sea,1996,118002,two_if_by_sea
65,Bio-Dome,1996,115683,biodome
66,Lawnmower Man 2: Beyond Cyberspace,1996,116839,lawnmower_man_2_jobes_war
67,Two Bits,1995,114753,two-bits
68,Gazon maudit,1995,113149,french_twist
69,Friday,1995,113118,nothing_funny
70,From Dusk Till Dawn,1996,116367,from_dusk_till_dawn
71,Fair Game,1995,113010,1065868-fair_game
72,Kicking & Screaming,2005,384642,kicking_and_screaming
73,Les misérables,1998,119683,1083326-les_miserables
74,Bed of Roses,1996,115644,bed_of_roses
75,Big Bully,1996,115676,big_bully
76,Screamers,1995,114367,1069696-screamers
77,Nico Icon,1995,113973,nico_icon
78,The Crossing Guard,1995,112744,crossing_guard
79,The Juror,1996,116731,juror
80,Badkonake sefid,1995,112445,white_balloon
81,Things to Do in Denver When You're Dead,1995,114660,things_to_do_in_denver_when_youre_dead
82,Antonia,1995,112379,antonias_line
83,Once Upon a Time... When We Were Colored,1995,114039,once-upon-a-timewhen-we-were-colored
84,Last Summer in the Hamptons,1995,113612,last_summer_in_the_hamptons
85,Angels and Insects,1995,112365,angels_and_insects
86,White Squall,1996,118158,white_squall
87,Dunston Checks In,1996,116151,dunston_checks_in
88,Black Sheep,2006,779982,black_sheep
89,Nick of Time,1995,113972,nick_of_time
90,The Journey of August King,1995,113490,journey_of_august_king
92,Mary Reilly,1996,117002,mary_reilly
93,Vampire in Brooklyn,1995,114825,vampire_in_brooklyn
94,Beautiful Girls,1996,115639,beautiful_girls
95,Broken Arrow,1996,115759,1069241-broken_arrow
96,In the Bleak Midwinter,1995,113403,midwinters_tale
